Scenario,Total number of vehicles,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
"Poa4/1per10,tripinfo,xml",2725,"287.541504587","197.439633028","2203.33118899","11.3556208182"
"Poa4/1per10,tripinfo,xmlpriorityVeh",273,"283.087912088","197.212454212","2202.63095238","11.3626951614"
"Poa4/1per10,tripinfo,xmlregularVeh",2452,"288.037357259","197.464926591","2203.40915171","11.3548331772"
"Poa4/1per100,tripinfo,xml",2725,"287.541504587","197.439633028","2203.33118899","11.3556208182"
"Poa4/1per100,tripinfo,xmlpriorityVeh",28,"311.178571429","193.964285714","2154.76071429","11.3483206605"
"Poa4/1per100,tripinfo,xmlregularVeh",2697,"287.296106785","197.475713756","2203.83544309","11.3556966077"
"Poa4/1per1000,tripinfo,xml",2725,"287.541504587","197.439633028","2203.33118899","11.3556208182"
"Poa4/1per1000,tripinfo,xmlpriorityVeh",3,"344.833333333","198.333333333","2187.54333333","11.2717652897"
"Poa4/1per1000,tripinfo,xmlregularVeh",2722,"287.478361499","197.438648053","2203.34858927","11.355713238"
