Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu4/1per100.tripinfoP.xmlregularVeh,3167,0.525418377013,4.47268708557,130.964319545,1269.3113988,9.719556355
simu4/1per10.tripinfoP.xmlpriorityVeh,320,0.371875,2.346875,130.6,1272.8681875,9.82831697237
simu4/1per1000.tripinfoP.xmlpriorityVeh,4,2.5,3.25,81.5,876.52,11.0014161149
simu4/1per100.tripinfoP.xml,3199.0,0.525164113786,4.45420443889,130.819005939,1267.97297593,9.72144035304
simu4/1per10.tripinfoP.xml,3199.0,0.51015942482,4.53454204439,130.938730853,1267.97297593,9.7114742623
simu4/1per100.tripinfoP.xmlpriorityVeh,32,0.5,2.625,116.4375,1135.5109375,9.90789728429
simu4/1per1000.tripinfoP.xml,3199.0,0.555173491716,4.63332291341,131.123163489,1267.97297593,9.70798132856
simu4/1per10.tripinfoP.xmlregularVeh,2879,0.525529697812,4.77770059048,130.976380688,1267.42887461,9.69848722958
simu4/1per1000.tripinfoP.xmlregularVeh,3195,0.552738654147,4.63505477308,131.185289515,1268.4630579,9.70636200488
